iter	Passed	Remaining
470	1662	1866
471	1665	1863
472	1669	1859
473	1672	1856
474	1676	1853
475	1679	1849
476	1683	1845
477	1686	1842
478	1690	1838
479	1693	1835
480	1697	1831
481	1702	1829
482	1707	1827
483	1711	1824
484	1714	1821
485	1718	1817
486	1721	1813
487	1725	1810
488	1728	1806
489	1732	1802
490	1735	1799
491	1738	1795
492	1741	1791
493	1746	1788
494	1749	1785
495	1753	1781
496	1757	1778
497	1761	1775
498	1765	1772
499	1769	1769
500	1772	1765
501	1777	1762
502	1780	1759
503	1783	1755
504	1786	1751
505	1792	1749
506	1797	1747
507	1801	1745
508	1805	1741
509	1809	1738
510	1813	1735
511	1817	1732
512	1821	1729
513	1825	1726
514	1829	1723
515	1833	1719
516	1837	1716
517	1841	1713
518	1846	1711
519	1849	1707
520	1854	1705
521	1858	1701
522	1861	1698
523	1865	1694
524	1868	1690
525	1872	1687
526	1876	1683
527	1879	1680
528	1883	1677
529	1887	1673
530	1890	1670
531	1894	1666
532	1899	1664
533	1902	1660
534	1906	1657
535	1910	1653
536	1914	1650
537	1917	1646
538	1921	1643
539	1925	1640
540	1929	1636
541	1932	1633
542	1936	1629
543	1940	1626
544	1944	1623
545	1947	1619
546	1950	1615
547	1955	1612
548	1959	1609
549	1963	1606
550	1966	1602
551	1970	1599
552	1974	1596
553	1978	1592
554	1982	1589
555	1985	1585
556	1989	1582
557	1993	1579
558	1997	1575
559	2001	1572
560	2005	1569
561	2009	1565
562	2013	1562
563	2018	1560
564	2029	1562
565	2036	1561
566	2040	1558
567	2043	1554
568	2047	1550
569	2050	1547
570	2054	1543
571	2057	1539
572	2060	1535
573	2064	1532
574	2068	1528
575	2071	1525
576	2075	1521
577	2078	1517
578	2082	1514
579	2086	1510
580	2089	1506
581	2093	1503
582	2096	1499
583	2100	1496
584	2103	1492
585	2107	1488
586	2111	1485
587	2114	1481
588	2119	1478
589	2122	1475
590	2127	1472
591	2130	1468
592	2134	1464
593	2138	1461
594	2141	1457
595	2145	1454
596	2148	1450
597	2152	1446
598	2155	1443
599	2159	1439
600	2162	1435
601	2166	1432
602	2170	1428
603	2173	1425
604	2177	1421
605	2180	1417
606	2184	1414
607	2187	1410
608	2191	1406
609	2194	1403
610	2197	1399
611	2201	1395
612	2204	1391
613	2208	1388
614	2212	1384
615	2215	1381
616	2219	1377
617	2222	1373
618	2226	1370
619	2229	1366
620	2233	1362
621	2236	1359
622	2240	1355
623	2243	1352
624	2247	1348
625	2250	1344
626	2253	1340
627	2257	1337
628	2260	1333
629	2264	1329
630	2267	1326
631	2270	1322
632	2274	1318
633	2278	1315
634	2281	1311
635	2284	1307
636	2288	1304
637	2292	1300
638	2295	1297
639	2299	1293
640	2302	1289
641	2306	1285
642	2309	1282
643	2313	1278
644	2316	1274
645	2319	1271
646	2323	1267
647	2326	1263
648	2330	1260
649	2334	1256
650	2337	1253
651	2340	1249
652	2343	1245
653	2347	1242
654	2351	1238
655	2354	1234
656	2357	1230
657	2361	1227
658	2364	1223
659	2368	1220
660	2371	1216
661	2375	1212
662	2379	1209
663	2382	1205
664	2385	1201
665	2389	1198
666	2392	1194
667	2396	1190
668	2399	1187
669	2402	1183
670	2406	1179
671	2409	1176
672	2413	1172
673	2416	1168
674	2420	1165
675	2424	1161
676	2427	1158
677	2431	1154
678	2435	1151
679	2439	1148
680	2443	1144
681	2446	1140
682	2450	1137
683	2454	1133
684	2457	1130
685	2461	1126
686	2466	1123
687	2469	1119
688	2473	1116
689	2476	1112
690	2480	1109
691	2484	1105
692	2487	1101
693	2490	1098
694	2494	1094
695	2497	1090
696	2501	1087
697	2504	1083
698	2508	1079
699	2511	1076
700	2515	1072
701	2518	1069
702	2521	1065
703	2525	1062
704	2529	1058
705	2532	1054
706	2535	1050
707	2538	1047
708	2542	1043
709	2545	1039
710	2549	1036
711	2552	1032
712	2555	1028
713	2558	1024
714	2561	1021
715	2565	1017
716	2568	1013
717	2572	1010
718	2575	1006
719	2578	1002
720	2581	999
721	2585	995
722	2588	991
723	2592	988
724	2595	984
725	2599	981
726	2602	977
727	2606	973
728	2609	970
729	2613	966
730	2616	962
731	2620	959
732	2623	955
733	2627	952
734	2630	948
735	2634	944
736	2637	941
737	2640	937
738	2644	933
739	2647	930
740	2650	926
741	2654	922
742	2657	919
743	2661	915
744	2664	911
745	2667	908
746	2671	904
747	2675	901
748	2678	897
749	2681	893
750	2684	890
751	2688	886
752	2691	883
753	2695	879
754	2698	875
755	2702	872
756	2706	868
757	2709	865
758	2713	861
759	2716	857
760	2721	854
761	2725	851
762	2728	847
763	2731	843
764	2735	840
765	2738	836
766	2742	833
767	2746	829
768	2750	826
769	2753	822
770	2756	818
771	2760	815
772	2764	811
773	2767	808
774	2771	804
775	2774	800
776	2778	797
777	2781	793
778	2785	790
779	2788	786
780	2792	783
781	2796	779
782	2800	776
783	2804	772
784	2808	769
785	2811	765
786	2815	761
787	2818	758
788	2821	754
789	2825	750
790	2828	747
791	2831	743
792	2835	740
793	2838	736
794	2842	732
795	2845	729
796	2848	725
797	2852	722
798	2857	718
799	2861	715
800	2865	711
801	2870	708
802	2873	704
803	2877	701
804	2880	697
805	2884	694
806	2887	690
807	2890	686
808	2894	683
809	2898	679
810	2902	676
811	2906	673
812	2910	669
813	2914	666
814	2918	662
815	2921	658
816	2925	655
817	2929	651
818	2933	648
819	2937	644
820	2941	641
821	2945	637
822	2949	634
823	2952	630
824	2956	627
825	2959	623
826	2963	619
827	2966	616
828	2970	612
829	2974	609
830	2977	605
831	2981	601
832	2984	598
833	2988	594
834	2991	591
835	2995	587
836	2998	583
837	3002	580
838	3005	576
839	3009	573
840	3012	569
841	3015	565
842	3019	562
843	3022	558
844	3026	555
845	3029	551
846	3033	547
847	3036	544
848	3039	540
849	3044	537
850	3047	533
851	3052	530
852	3056	526
853	3059	523
854	3063	519
855	3066	515
856	3071	512
857	3074	508
858	3078	505
859	3081	501
860	3085	498
861	3088	494
862	3092	490
863	3096	487
864	3099	483
865	3103	480
866	3106	476
867	3111	473
868	3115	469
869	3118	466
870	3123	462
871	3126	458
872	3130	455
873	3133	451
874	3137	448
875	3140	444
876	3143	440
877	3147	437
878	3150	433
879	3154	430
880	3157	426
881	3161	422
882	3165	419
883	3168	415
884	3172	412
885	3175	408
886	3178	404
887	3181	401
888	3185	397
889	3188	394
890	3193	390
891	3197	387
892	3203	383
893	3207	380
894	3211	376
895	3215	373
896	3219	369
897	3223	366
898	3227	362
899	3231	359
900	3235	355
901	3239	351
902	3243	348
903	3248	344
904	3251	341
905	3255	337
906	3258	334
907	3262	330
908	3266	327
909	3270	323
910	3273	319
911	3277	316
912	3281	312
913	3285	309
914	3288	305
915	3292	301
916	3297	298
917	3301	294
918	3304	291
919	3309	287
920	3312	284
921	3316	280
922	3320	276
923	3323	273
924	3327	269
925	3331	266
926	3334	262
927	3338	258
928	3341	255
929	3345	251
930	3348	248
931	3352	244
932	3355	240
933	3358	237
934	3363	233
935	3367	230
936	3370	226
937	3375	223
938	3378	219
939	3381	215
940	3385	212
941	3388	208
942	3392	205
943	3396	201
944	3399	197
945	3402	194
946	3406	190
947	3410	187
948	3413	183
949	3417	179
950	3420	176
951	3423	172
952	3427	169
953	3432	165
954	3435	161
955	3440	158
956	3443	154
957	3446	151
958	3450	147
959	3453	143
960	3456	140
961	3459	136
962	3463	133
963	3466	129
964	3470	125
965	3473	122
966	3477	118
967	3481	115
968	3484	111
969	3488	107
970	3491	104
971	3494	100
972	3498	97
973	3501	93
974	3504	89
975	3507	86
976	3511	82
977	3514	79
978	3518	75
979	3521	71
980	3525	68
981	3528	64
982	3531	61
983	3535	57
984	3538	53
985	3542	50
986	3546	46
987	3550	43
988	3555	39
989	3558	35
990	3562	32
991	3566	28
992	3570	25
993	3573	21
994	3576	17
995	3580	14
996	3583	10
997	3587	7
998	3590	3
999	3593	0
